,fileversion,Comments,Template,LanguageCode,InternalName,SharedDoc,Company,ZipBitFlag,Originalfilename,Legalcopyright,Subsystem,TimeStamp,PEType,Legaltrademarks,FileAccessDate,productversion,OSVersion,LegalCopyright,TotalEditTime,Creator,legaltrademarks,productname,ProductVersionNumber,Warning,Application,ZipFileName,CompanyWebsite,DirectShow,ZipCRC,CharacterSet,comments,CreateDate,AppVersion,UninitializedDataSize,FileOS,md5,legalcopyright,LegalTrademarks,ProductName,FileTypeExtension,AssemblyVersion,ProductVersion,family,LinksUpToDate,LinkerVersion,filedescription,ImageVersion,FileVersionNumber,FileFlagsMask,ModifyDate,FullVersion,companyname,InitializedDataSize,Characters,ScaleCrop,OriginalFileName,Words,Productname,OLESelfRegister,CompanyName,SubsystemVersion,DocSecurity,ZipModifyDate,internalname,HeadingPairs,ZipCompression,CodeSize,MIMEType,HyperlinksChanged,LastModifiedBy,ZipRequiredVersion,ImageFileCharacteristics,Pages,RevisionNumber,FileVersion,FileType,Filedescription,Lines,ZipUncompressedSize,CharactersWithSpaces,FileDescription,FileCreateDate,originalfilename,ZipCompressedSize,MachineType,FileSubtype,EntryPoint,ObjectFileType,Paragraphs
0,,,,,,,,,,,Windows GUI,2016:05:15 09:01:46+01:00,PE32,,,,144.0,,,,,,,,,,,,,,,,,0,,c4b29d3345ed0b7a0b284764f3446396,,,,exe,,,CTB-locker,,6.0,,11.0,,,,,,40960,,,,,,,,4.0,,,,,,14536704,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x1718,,
1,,,,Greek,Puzzle,,,,,,Windows GUI,2016:04:12 17:56:45+01:00,PE32,,,,4.0,(C) 2015,,,,,1.0.0.1,,,,,,,Unicode,,,,0,Windows NT 32-bit,aadf8bb8770d563aa27eadc57ef238e9,,,Puzzle,exe,,"1, 0, 0, 1",CTB-locker,,5.0,,0.0,1.0.0.1,0x003f,,,,761856,,,Puzzle.exe,,,,,4.0,,,,,,28672,application/octet-stream,,,,,,,"1, 0, 0, 1",Win32 EXE,,,,,Puzzle,,,,"Intel 386 or later, and compatibles",0,0x5996,Executable application,
2,,,,,,,,,,,Windows GUI,2016:03:30 19:34:26+01:00,PE32,,,,4.0,,,,,,,Error processing PE data dictionary,,,,,,,,,,32768,,db0a2be5b0eb4603fada6e6f79f3d267,,,,exe,,,CTB-locker,,6.1,,0.0,,,,,,32768,,,,,,,,4.0,,,,,,8192,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x203e,,
3,,,,Chinese (Simplified),Elgamal,,,,,,Windows GUI,2016:05:13 14:49:44+01:00,PE32,,,,4.0,(C) 2007,,,,,1.0.0.1,,,,,,,Unicode,,,,0,Win32,3be529d7c05913ef0571a6f4fbf7d946,,,Elgamal,exe,,"1, 0, 0, 1",CTB-locker,,6.0,,0.0,1.0.0.1,0x003f,,,,753664,,,Elgamal.EXE,,,,,4.0,,,,,,12288,application/octet-stream,,,,,,,"1, 0, 0, 1",Win32 EXE,,,,,Elgamal Microsoft,,,,"Intel 386 or later, and compatibles",0,0x30af,Executable application,
4,,,,Chinese (Simplified),Elgamal,,,,,,Windows GUI,2016:05:13 14:49:44+01:00,PE32,,,,4.0,(C) 2007,,,,,1.0.0.1,,,,,,,Unicode,,,,0,Win32,555eaa028a55704f3200614a01d0a464,,,Elgamal,exe,,"1, 0, 0, 1",CTB-locker,,6.0,,0.0,1.0.0.1,0x003f,,,,753664,,,Elgamal.EXE,,,,,4.0,,,,,,12288,application/octet-stream,,,,,,,"1, 0, 0, 1",Win32 EXE,,,,,Elgamal Microsoft,,,,"Intel 386 or later, and compatibles",0,0x30af,Executable application,
5,,Douras,,French (Canadian),Websterite3,,,,,,Windows GUI,2016:04:26 07:43:21+01:00,PE32,,,,4.0,,,,,,1.0.0.0,,,,,,,Unicode,,,,0,Win32,b4a012e465f845bc7ac8b441bec2d2c3,,,Traced,exe,,1.0,CTB-locker,,6.0,,1.0,1.0.0.0,0x0000,,,,20480,,,Websterite3.exe,,,,Halon Krusk,4.0,,,,,,704512,application/octet-stream,,,,,,,1.0,Win32 EXE,,,,,Jagtudflugten,,,,"Intel 386 or later, and compatibles",0,0x125c,Executable application,
6,,,,,,,,,,,Windows GUI,2015:02:15 09:00:31+01:00,PE32,,,,5.0,,,,,,,,,,,,,,,,,0,,f87208a911d9d1a3793914a649dac97e,,,,exe,,,CTB-locker,,9.0,,0.0,,,,,,44032,,,,,,,,5.0,,,,,,165888,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x1d7cb,,
7,,Topgrafiens,,French (Canadian),Phocidae,,,,,,Windows GUI,2016:04:28 18:50:12+01:00,PE32,,,,4.0,,,,,,1.0.0.0,,,,,,,Unicode,,,,0,Win32,78b22232b87e0598e8f6f584f1883c87,,,Stiklommens,exe,,1.0,CTB-locker,,6.0,,1.0,1.0.0.0,0x0000,,,,16384,,,Phocidae.exe,,,,Halon Krusk,4.0,,,,,,704512,application/octet-stream,,,,,,,1.0,Win32 EXE,,,,,G  stel  reren,,,,"Intel 386 or later, and compatibles",0,0x1284,Executable application,
8,,Archdiocese,,French (Canadian),Terrasseringer1,,,,,,Windows GUI,2016:04:25 15:03:57+01:00,PE32,,,,4.0,,,,,,1.0.0.0,,,,,,,Unicode,,,,0,Win32,6d0509c64d650c95b0e132567c063eb2,,,Chondrus7,exe,,1.0,CTB-locker,,6.0,,1.0,1.0.0.0,0x0000,,,,20480,,,Terrasseringer1.exe,,,,Halon Krusk,4.0,,,,,,708608,application/octet-stream,,,,,,,1.0,Win32 EXE,,,,,Paraffine4,,,,"Intel 386 or later, and compatibles",0,0x1278,Executable application,
9,,resordenes5,,English (Australian),Siderous,,,,,,Windows GUI,2016:04:24 20:30:32+01:00,PE32,,,,4.0,,,,,,1.0.0.0,,,,,,,Unicode,,,,0,Win32,497b225179a648c3fcec8773351991b8,,,Angiohypertonia6,exe,,1.0,CTB-locker,,6.0,,1.0,1.0.0.0,0x0000,,,,20480,,,Siderous.exe,,,,Halon Krusk,4.0,,,,,,700416,application/octet-stream,,,,,,,1.0,Win32 EXE,,,,,Nondilation1,,,,"Intel 386 or later, and compatibles",0,0x126c,Executable application,
10,,,,,,,,,,,Windows GUI,2016:04:18 18:05:30+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,1011a4fa57954818d4e378a2af9fc3d6,,,,exe,,,CTB-locker,,6.0,,0.0,,,,,,20480,,,,,,,,4.0,,,,,,28672,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x6d22,,
11,,Geografierne,,English (Australian),Marshberries3,,,,,,Windows GUI,2016:04:21 15:14:42+02:00,PE32,,,,4.0,,,,,,1.0.0.0,,,,,,,Unicode,,,,0,Win32,77fac4194a04d2bbd9b4503044f4250c,,,Pjattes,exe,,1.0,CTB-locker,,6.0,,1.0,1.0.0.0,0x0000,,,,53248,,,Marshberries3.exe,,,,Halon Krusk,4.0,,,,,,778240,application/octet-stream,,,,,,,1.0,Win32 EXE,,,,,Stagnantness5,,,,"Intel 386 or later, and compatibles",0,0x1274,Executable application,
12,,Druesyrerne,,English (Australian),Toges,,,,,,Windows GUI,2016:04:21 03:58:24+01:00,PE32,,,,4.0,,,,,,1.0.0.0,,,,,,,Unicode,,,,0,Win32,fa51284e30ae0547fec613aecf61191a,,,Uniniquitously7,exe,,1.0,CTB-locker,,6.0,,1.0,1.0.0.0,0x0000,,,,53248,,,Toges.exe,,,,Halon Krusk,4.0,,,,,,778240,application/octet-stream,,,,,,,1.0,Win32 EXE,,,,,Navnekonto7,,,,"Intel 386 or later, and compatibles",0,0x1258,Executable application,
