,payload,instruction
0,0017a186977d408f54a6a8ee5a67a82c                                                                    ,"{u''subs'': 2, u''movtmi'': 525, u''strdeq'': 1, u''ldm'': 4, u''bvc'': 1, u''stcleq'': 1, u''cbnz'': 1, u''strtlo'': 1, u''muls'': 1051, u''beq'': 4, u''smmla'': 1, u''bhs'': 1, u''blgt'': 1, u''cmnhs'': 1, u''movs'': 9, u''ldcl'': 1, u''movwgt'': 1, u''adds'': 2, u''blx'': 2, u''ldrshmi'': 1, u''strbne'': 1, u''ldcleq'': 1, u''ldclgt'': 1, u''lsls'': 5, u''ldmeq'': 1, u''asrs'': 7, u''add'': 3, u''blmi'': 1, u''usatpl'': 1, u''ldrpl'': 1, u''ldrbtle'': 1, u''stmibls'': 1, u''strtgt'': 1, u''svcvs'': 2, u''str'': 7, u''bl'': 1, u''rsbshs'': 1, u''sbcsle'': 1, u''bmi'': 1, u''rsbspl'': 1, u''b'': 4, u''stclvs'': 1, u''movwlo'': 1, u''adr'': 1, u''orrs'': 1, u''bx'': 1, u''ldrteq'': 1, u''eorshs'': 1, u''strbmi'': 1, u''ldrsh'': 1, u''ldclge'': 1, u''bllt'': 1, u''ldr'': 14, u''ldrsb'': 2, u''stm'': 4, u''cdphi'': 1, u''strtne'': 2, u''cdpvs'': 2, u''blne'': 1, u''lsrs'': 6, u''strh'': 2, u''rscsmi'': 1, u''stcvs'': 1, u''strb'': 5, u''ldrbvc'': 1, u''ldrh'': 2, u''cmp'': 3}"
1,0017a459b82b0b8fca693e80332eb90f                                                                    ,"{u''bvs'': 1, u''strbgt'': 1, u''adcne'': 1, u''subseq'': 1, u''movtmi'': 525, u''strdeq'': 1, u''svcne'': 1, u''strths'': 2, u''ldr'': 13, u''svcle'': 1, u''mcrlt'': 1, u''muls'': 1051, u''bhs'': 1, u''stceq'': 1, u''movs'': 10, u''subs'': 3, u''adr'': 3, u''sub'': 1, u''ldmeq'': 1, u''lsls'': 4, u''add'': 1, u''ldclvc'': 1, u''ble.w'': 1, u''asrs'': 1, u''blo'': 2, u''bkpt'': 1, u''ble'': 1, u''blge'': 1, u''ands'': 1, u''sbfxeq'': 1, u''svcvs'': 2, u''stmdane'': 1, u''teqmi'': 1, u''rev16'': 1, u''bl'': 1, u''rsbshs'': 1, u''sbcsle'': 1, u''strhvs'': 1, u''blpl'': 1, u''strtpl'': 1, u''ldrb'': 6, u''movwle'': 1, u''pop'': 3, u''stclvs'': 1, u''stcleq'': 1, u''adds'': 1, u''ldm'': 2, u''bx'': 1, u''eorshs'': 1, u''strbmi'': 1, u''ldrsh'': 1, u''beq'': 1, u''ldrh'': 3, u''stm'': 1, u''ldclle'': 1, u''rsbsvs'': 1, u''b.w'': 2, u''svc'': 1, u''swpvc'': 1, u''cdpvs'': 2, u''orrs'': 1, u''lsrs'': 7, u''strh'': 2, u''str'': 13, u''strb'': 6, u''strle'': 1, u''stcpl'': 1, u''cmp'': 2}"
2,0017b0f84c18be5de793930aadbb9a64                                                                    ,"{u''ldcmi'': 1, u''bhi'': 1, u''ldcllo'': 1, u''svclt'': 1, u''subs'': 6, u''movtmi'': 525, u''strdeq'': 1, u''ldrblt'': 1, u''ldm'': 1, u''orrslt'': 1, u''ldr'': 14, u''strbge'': 2, u''strt'': 2, u''cbz'': 3, u''ldmeq'': 1, u''cdpvs'': 2, u''movs'': 10, u''adr'': 6, u''blx'': 1, u''blne'': 1, u''lsls'': 6, u''add'': 2, u''mrcne'': 1, u''ldc2'': 2, u''asrs'': 1, u''blo'': 1, u''stc2l'': 2, u''rsbshs'': 2, u''mrchi'': 1, u''cmplt'': 1, u''smulttgt'': 1, u''ands'': 1, u''adcseq'': 1, u''cmpvc'': 1, u''svcvs'': 2, u''movwls'': 1, u''strbmi'': 1, u''ldrbhs'': 1, u''vrsra.s8'': 1, u''mov'': 1, u''eorle'': 1, u''ldrb'': 3, u''ldrshlt'': 1, u''ldchs'': 1, u''stclvs'': 1, u''muls'': 1051, u''ldrh'': 2, u''bx'': 1, u''ittte'': 1, u''eorshs'': 1, u''svchs'': 1, u''adds'': 1, u''b'': 3, u''bge'': 1, u''cmn'': 1, u''ldrsb'': 1, u''stm'': 2, u''b.w'': 2, u''strls'': 1, u''strdgt'': 1, u''ldrbtmi'': 1, u''ldrbge'': 1, u''bgt'': 1, u''lsrs'': 4, u''str'': 9, u''push'': 3, u''strb'': 3, u''beq'': 2, u''cmp'': 4}"
3,0017bd1e6b34c003d6debb07a4ebca9b                                                                    ,"{u''movwmi'': 1, u''subs'': 117, u''cmnvs'': 1, u''strbtlo'': 9, u''stmdalo'': 10, u''teqlo'': 35, u''strvs'': 2, u''pop'': 2, u''stmdblo'': 10, u''ldr'': 303, u''smladxlo'': 3, u''ldrtlo'': 54, u''movs'': 567, u''andlo'': 21, u''adds'': 620, u''ldmdblo'': 14, u''stclt'': 1, u''strlo'': 10, u''rsbshs'': 32, u''strblo'': 7, u''stmdavs'': 67, u''svcvs'': 2, u''rsbvs'': 1, u''qaddlo'': 1, u''strbtvs'': 1, u''rsblo'': 14, u''shasxlo'': 2, u''ldmdalo'': 25, u''adcs'': 20, u''stclvs'': 1, u''movwlo'': 5, u''eorvs'': 1, u''rsbhs'': 3, u''eorslo'': 57, u''svchs'': 2, u''stmdbvs'': 29, u''ldrlo'': 11, u''strbvc'': 68, u''andeq'': 252, u''orrs'': 1, u''lsrs'': 334, u''ldmdapl'': 50, u''str'': 206, u''strb'': 139, u''beq'': 163, u''cmp'': 3}"
4,0018046c15e4c04cc4bd830170ab5b6d                                                                    ,"{u''and'': 1, u''subs'': 6, u''mrcgt'': 1, u''lsls'': 2, u''movtmi'': 525, u''ldm'': 1, u''ssatmi'': 1, u''ldr'': 14, u''ldrh'': 3, u''bhs'': 2, u''movs'': 11, u''strtle'': 1, u''movwgt'': 1, u''blt'': 1, u''orrmi'': 1, u''ldmeq'': 1, u''strvc'': 1, u''asrs'': 4, u''add'': 3, u''subhs'': 1, u''ldrmi'': 1, u''strdhs'': 1, u''ldcllo'': 2, u''svcvs'': 2, u''ldrlt'': 1, u''cdppl'': 1, u''strbmi'': 1, u''rsbshs'': 1, u''bmi'': 1, u''mov'': 1, u''rsbspl'': 1, u''blhi'': 1, u''ldrb'': 3, u''svcvc'': 2, u''strhs'': 1, u''ldmdavc'': 1, u''stclvs'': 1, u''ldc2l'': 1, u''muls'': 1051, u''orrs'': 2, u''bx'': 1, u''eorshs'': 1, u''smmlsrlt'': 1, u''ldrsh'': 2, u''b'': 4, u''stmibpl'': 1, u''bge'': 1, u''ldrsb'': 1, u''stm'': 2, u''stc2'': 2, u''bpl'': 1, u''strtne'': 2, u''cdpvs'': 2, u''andeq'': 1, u''cdphs'': 1, u''lsrs'': 4, u''strh'': 3, u''ldclvs'': 1, u''strhvc'': 1, u''str'': 8, u''blle'': 1, u''strb'': 6, u''beq'': 1, u''bics'': 1, u''ldcge'': 1, u''cmp'': 8}"
5,00187d3e5cdfc5bb2c3d5851c08f92ab                                                                    ,"{u''stmls'': 1, u''movwmi'': 1, u''subs'': 3, u''ldmdbgt'': 1, u''movtmi'': 525, u''ldrtlo'': 1, u''svcne'': 1, u''ldm'': 4, u''ldr'': 18, u''cbnz'': 1, u''ldrsbtge'': 1, u''cbz'': 1, u''ldrtne'': 1, u''movs'': 7, u''svcmi'': 1, u''ssaxhi'': 1, u''ldcl'': 2, u''adds'': 4, u''blx'': 1, u''beq'': 2, u''orrsvs'': 2, u''stmdage'': 1, u''strbmi'': 1, u''lsls'': 3, u''blo'': 1, u''ldrbne'': 1, u''bics'': 1, u''asrs'': 4, u''add'': 2, u''strne'': 1, u''strtls'': 2, u''stmgt'': 1, u''svcvs'': 2, u''ldrhgt'': 1, u''rev16'': 2, u''rsbshs'': 1, u''orrsmi'': 1, u''bmi'': 1, u''ldrb'': 1, u''ldrbhi'': 1, u''adcs'': 1, u''stclvs'': 1, u''adr'': 3, u''orrs'': 1, u''bx'': 1, u''tst'': 1, u''rsbsle'': 1, u''eorshs'': 1, u''cmn'': 1, u''ldrsh'': 1, u''b'': 3, u''ldrlo'': 1, u''bge'': 1, u''strbvc'': 1, u''cdpvs'': 2, u''andeq'': 1, u''ldmeq'': 1, u''ldrbge'': 1, u''strh'': 3, u''lsrs'': 7, u''str'': 10, u''push'': 1, u''strb'': 5, u''muls'': 1051, u''cmp'': 2, u''ldclls'': 1, u''ldmibvs'': 1, u''stmdbeq'': 1}"
6,0018987204b41d50be1836824d1aa49e                                                                    ,"{u''bvs'': 3, u''strbeq'': 1, u''rfeib'': 1, u''blge'': 2, u''ite'': 1, u''svcne'': 1, u''ldm'': 19, u''ldmda'': 1, u''bvc'': 7, u''ldr'': 110, u''ldmibpl'': 2, u''cdp'': 5, u''ldcls'': 1, u''ldmdbvc'': 2, u''movt'': 1, u''stmdahs'': 4, u''smlaldvc'': 1, u''ldrtle'': 1, u''ldmibge'': 1, u''cmngt'': 1, u''eors'': 2, u''qsaxls'': 1, u''adr'': 28, u''stcne'': 1, u''cdpeq'': 1, u''ldcleq'': 1, u''lsls'': 24, u''ble.w'': 1, u''usada8vc'': 1, u''add'': 17, u''cdp2'': 1, u''ldmdblt'': 2, u''bics.w'': 1, u''ldrvs'': 1, u''sbcls'': 3, u''stmibhi'': 1, u''tst'': 2, u''eorlt'': 1, u''ldrbthi'': 1, u''ldmibne'': 1, u''bicsvs'': 1, u''stmdalo'': 1, u''stmdavs'': 2, u''svcpl'': 3, u''stmdbge'': 1, u''mov'': 1, u''ldrbtgt'': 1, u''strblo'': 1, u''ldrbhi'': 1, u''orrsge'': 1, u''rsbvc'': 1, u''vmulls.f32'': 1, u''adcshs'': 1, u''ldmdbge'': 1, u''ldrpl'': 1, u''stmibpl'': 2, u''ssatgt'': 1, u''strbvc'': 3, u''smullgt'': 1, u''subvc'': 1, u''stclle'': 3, u''bpl'': 4, u''strtlo'': 1, u''stcmi'': 3, u''blne'': 2, u''ldrbge'': 2, u''strne'': 1, u''adcsle'': 1, u''stcllt'': 1, u''ssatge'': 1, u''rsbne'': 2, u''cmp'': 37, u''stmls'': 1, u''sbcs'': 1, u''bl'': 6, u''svclt'': 1, u''bleq'': 3, u''cmnlt'': 1, u''stmlt'': 1, u''movteq'': 1, u''vadd.i8'': 1, u''stclhs'': 1, u''strths'': 1, u''andsvc'': 1, u''ldmdami'': 1, u''svcle'': 1, u''stmhi'': 1, u''strbths'': 1, u''adds.w'': 1, u''ldclle'': 2, u''addw'': 1, u''ldrsh.w'': 1, u''strbls'': 1, u''blx'': 2, u''beq'': 6, u''blt'': 7, u''rev'': 1, u''lsrs'': 29, u''bls'': 4, u''movs'': 22, u''asrs'': 17, u''blo'': 2, u''stc2l'': 2, u''blmi'': 1, u''svcgt'': 3, u''ble'': 3, u''mrrchs'': 1, u''stmgt'': 2, u''orr.w'': 1, u''bicspl'': 1, u''cbnz'': 11, u''mrc2'': 1, u''blpl'': 1, u''strbvs'': 1, u''ldrt'': 1, u''stclvc'': 2, u''vnmulls.f64'': 1, u''ldmib'': 1, u''teqvc'': 1, u''uqasxvc'': 1, u''sbc'': 1, u''svcvc'': 1, u''vstr'': 1, u''ldrhge'': 1, u''ldrd'': 3, u''stclvs'': 1, u''andls'': 1, u''ldrh'': 29, u''sbcslt'': 1, u''bx'': 2, u''strbmi'': 1, u''rsbsgt'': 1, u''ldrvc'': 1, u''bllt'': 1, u''svcvs'': 3, u''sxth'': 2, u''ssaxle'': 1, u''cdphi'': 1, u''addshs'': 1, u''strtne'': 2, u''strls'': 1, u''bichs'': 1, u''cdphs'': 2, u''smlalbtgt'': 1, u''ldrge'': 1, u''bgt'': 8, u''ldmiblt'': 1, u''cdppl'': 2, u''blle'': 3, u''stcvs'': 2, u''ldmdalo'': 2, u''ldrbne'': 1, u''ldcllt'': 1, u''rscsvc'': 1, u''bllo'': 2, u''ldc2'': 1, u''ldcmi'': 1, u''mcrle'': 1, u''subs'': 35, u''ldmhi'': 1, u''mcrlo'': 1, u''iteee'': 1, u''stmdbls'': 1, u''ldrbt'': 1, u''pop'': 7, u''qsubhi'': 1, u''bicgt'': 1, u''stmdals'': 1, u''svcls'': 5, u''stmdble'': 1, u''str.w'': 1, u''vld4.8'': 1, u''stmiblo'': 1, u''stmeq'': 1, u''movtvc'': 1, u''eorsgt'': 2, u''smmlahs'': 1, u''movweq'': 1, u''adchi'': 1, u''teqeq'': 1, u''strhmi'': 1, u''vnmulgt.f64'': 1, u''ldrmi'': 1, u''ands'': 1, u''bkpt'': 3, u''ldrblt'': 4, u''eorlo'': 1, u''ldclo'': 2, u''strbt'': 2, u''blls'': 2, u''addvc'': 1, u''bmi'': 3, u''ldmdals'': 1, u''ldreq'': 1, u''smmlsrls'': 1, u''ldcle'': 1, u''ldrble'': 1, u''udf'': 1, u''stmmi'': 1, u''mcrge'': 2, u''ldrblo'': 1, u''mcr'': 3, u''ldclt'': 1, u''bge'': 1, u''rsbslt'': 2, u''ldmlt'': 1, u''b'': 18, u''ldrlo'': 1, u''stc'': 2, u''stm'': 19, u''adcsvc'': 1, u''ldmibvc'': 3, u''ldrle'': 1, u''ldrsb'': 5, u''bne'': 5, u''str'': 48, u''stclne'': 2, u''stmibvc'': 1, u''stmibls'': 2, u''andsvs'': 1, u''ldrlt'': 2, u''bhi'': 4, u''sub'': 1, u''stmpl'': 3, u''mrceq'': 1, u''strge'': 1, u''svchi'': 2, u''ldcvs'': 1, u''strvs'': 2, u''blvs'': 3, u''svchs'': 4, u''sbcge'': 1, u''biceq'': 1, u''cbz'': 6, u''stcl'': 1, u''ldmdbeq'': 1, u''vnmlals.f64'': 1, u''addle'': 1, u''blvc'': 2, u''rsbge'': 1, u''stmdbhs'': 1, u''strbhs'': 2, u''stclo'': 1, u''mcr2'': 4, u''ldmmi'': 1, u''ldrbtvc'': 1, u''strvc'': 1, u''orrsvs'': 1, u''strbteq'': 1, u''ldmdapl'': 1, u''adcslo'': 2, u''smulwtne'': 1, u''ldclpl'': 1, u''sxtb'': 2, u''uadd16pl'': 1, u''ldrb'': 24, u''ldrbtvs'': 1, u''sbcshs'': 1, u''stchi'': 2, u''strbtmi'': 1, u''ldmdahs'': 1, u''ldrtpl'': 1, u''ldrsb.w'': 1, u''ssaths'': 1, u''addslo'': 1, u''sbcslo'': 1, u''blhi'': 1, u''strdne'': 1, u''stmdaeq'': 1, u''tsteq'': 1, u''strb'': 39, u''ldc2l'': 3, u''adds'': 32, u''rsbhs'': 1, u''ldclhi'': 1, u''uxtb'': 1, u''bhs'': 5, u''ldrsh'': 8, u''movtmi'': 1, u''strpl'': 1, u''sbcvc'': 1, u''stcle'': 2, u''rsclt'': 1, u''ldcge'': 2, u''b.w'': 5, u''svc'': 3, u''subpl'': 1, u''mlaspl'': 1, u''bicle'': 1, u''strh'': 23, u''adcsmi'': 1, u''ldrbls'': 2, u''push'': 6, u''cdpmi'': 1, u''muls'': 2, u''ldrbvc'': 2, u''ldclgt'': 1, u''vaba.s8'': 1, u''adcs'': 286}"
7,0018a50c751f2f60c1cb2c3f580c620e                                                                    ,"{u''bhi'': 2, u''svclt'': 1, u''bleq'': 1, u''subs'': 1, u''addsmi'': 1, u''strbmi'': 1, u''movtmi'': 525, u''mcrge'': 1, u''cdpls'': 1, u''strths'': 2, u''svchs'': 1, u''ldr'': 18, u''cdp'': 1, u''svcmi'': 1, u''cbz'': 1, u''stmdahs'': 1, u''movs'': 11, u''ldm'': 3, u''adds'': 2, u''strdlt'': 1, u''stcne'': 1, u''stclvc'': 1, u''lsls'': 3, u''blo'': 4, u''adr'': 1, u''asrs'': 3, u''add'': 4, u''addeq'': 1, u''strdne'': 1, u''eorsne'': 1, u''ldrblt'': 1, u''iteet'': 1, u''svcpl'': 1, u''rsbshs'': 1, u''mov'': 1, u''ldmdavc'': 1, u''ldrb'': 4, u''movwle'': 1, u''ldrge'': 1, u''pop'': 1, u''ldrd'': 1, u''stclvs'': 1, u''muls'': 1051, u''ldrh'': 2, u''ldrhtmi'': 1, u''bx'': 1, u''bics.w'': 1, u''vstmials'': 1, u''eorshs'': 1, u''cmn'': 1, u''ldrsh'': 1, u''b'': 1, u''tstgt'': 1, u''mrcmi'': 1, u''svcvs'': 2, u''stm'': 4, u''ldmdbmi'': 1, u''rsbsvs'': 1, u''b.w'': 2, u''cdphi'': 1, u''cdpvs'': 2, u''andeq'': 1, u''lsrs'': 5, u''ands'': 1, u''str'': 6, u''push'': 3, u''strb'': 5, u''beq'': 1, u''rsbsne'': 1, u''cmp'': 5}"
8,001c1fc1b227689fa078f7df6c56a4f1                                                                    ,"{u''ldc'': 2, u''stmdahi'': 1, u''ldcpl'': 3, u''cmpeq'': 1, u''sbcsmi'': 1, u''blge'': 1, u''svcne'': 2, u''sbceq'': 1, u''ldm'': 22, u''bvc'': 3, u''ldr'': 64, u''cbnz'': 3, u''cdp'': 3, u''strbtne'': 3, u''cdple'': 1, u''blgt'': 2, u''movs'': 19, u''subge'': 1, u''mcrhs'': 1, u''sadd8pl'': 1, u''adr'': 12, u''tsthi'': 1, u''ldrvc'': 1, u''addsvc'': 1, u''lsls'': 21, u''blo'': 6, u''stmvs'': 1, u''rsbgt'': 1, u''add'': 25, u''cdp2'': 3, u''ldmdblt'': 1, u''addsvs'': 1, u''strmi'': 1, u''ittet'': 1, u''stmvc'': 1, u''sbclt'': 1, u''ldmibne'': 1, u''ldrlt'': 1, u''svc'': 1, u''svcpl'': 2, u''addsne'': 1, u''ldrdeq'': 1, u''stmdbge'': 2, u''mov'': 6, u''ldrbtgt'': 2, u''ldrbt'': 1, u''ldrbtpl'': 1, u''orrsge'': 1, u''adcs'': 416, u''mcrpl'': 1, u''stmdbgt'': 1, u''ldrbtge'': 1, u''ldmdbge'': 1, u''ldrbgt'': 1, u''cmn'': 1, u''ldrhs'': 2, u''bpl'': 5, u''stmhi'': 1, u''cdpvs'': 2, u''mrcvs'': 1, u''stmdbvc'': 1, u''strne'': 1, u''stmhs'': 2, u''ldrhi'': 2, u''itee'': 1, u''stmda'': 1, u''rscne'': 1, u''movtne'': 1, u''sbcs'': 4, u''svclt'': 2, u''svcls'': 1, u''stmibeq'': 1, u''addhs'': 1, u''ldmdbvs'': 1, u''sadd16ne'': 1, u''stclhi'': 1, u''svclo'': 2, u''cmpge'': 1, u''adds.w'': 1, u''stmlo'': 1, u''eor.w'': 1, u''stchi'': 1, u''ldcl'': 2, u''mrchs'': 1, u''andvc'': 1, u''adds'': 22, u''sub'': 2, u''blt'': 4, u''subsvs'': 2, u''stclgt'': 1, u''lsrs'': 15, u''bls'': 7, u''sublo'': 1, u''asrs'': 21, u''strble'': 2, u''stc2l'': 4, u''blmi'': 1, u''svcgt'': 2, u''ble'': 5, u''ldrsbls'': 1, u''stcge'': 1, u''ldrgt'': 1, u''strbvs'': 1, u''bvs'': 4, u''rev16'': 2, u''bl'': 3, u''strbtvs'': 1, u''ldclvs'': 1, u''smultbpl'': 1, u''ldrbvs'': 1, u''andle'': 1, u''stcgt'': 1, u''sbc'': 1, u''svcvc'': 1, u''ldrd'': 2, u''vstmdbvs'': 1, u''strbtvc'': 1, u''ldrh'': 30, u''vceq.i32'': 1, u''stmdapl'': 1, u''teqvs'': 1, u''usat'': 1, u''uxtb'': 2, u''strbmi'': 1, u''ldmibhs'': 1, u''bge'': 5, u''vstmiapl'': 1, u''strlt'': 1, u''sxth'': 1, u''usateq'': 1, u''mulvc'': 1, u''strls'': 3, u''cdphs'': 2, u''ldrsbthi'': 1, u''strlo'': 1, u''bgt'': 2, u''blle'': 1, u''stcvs'': 2, u''ldcllt'': 1, u''rors'': 2, u''bllo'': 3, u''blhs'': 2, u''strex'': 1, u''bhi'': 2, u''subs'': 23, u''mcrls'': 1, u''ldmdbvc'': 2, u''ldrbthi'': 1, u''cdpls'': 1, u''pop'': 8, u''bmi.w'': 1, u''smlatb'': 1, u''stmibge'': 1, u''ldmvc'': 1, u''stmdals'': 1, u''stc2'': 2, u''mrrc2'': 3, u''usatne'': 1, u''strbtle'': 1, u''bge.w'': 1, u''pkhbtlt'': 1, u''ldmdbls'': 2, u''ldrdhi'': 1, u''ldmdbpl'': 1, u''ldmne'': 1, u''fldmiaxhs'': 1, u''orrge'': 1, u''bkpt'': 2, u''ldmdbhs'': 1, u''stcl'': 3, u''ldrbls'': 1, u''adceq'': 1, u''bmi'': 5, u''ldreq'': 2, u''rsc'': 1, u''usatgt'': 1, u''ldrble'': 2, u''udf'': 1, u''stmmi'': 1, u''adc.w'': 1, u''svcmi'': 1, u''tst'': 1, u''tsteq'': 1, u''b'': 23, u''stm'': 27, u''adcsvc'': 1, u''cmnpl'': 1, u''ldrle'': 1, u''ldrne'': 1, u''cmpls'': 2, u''str'': 56, u''ldrls'': 2, u''strtpl'': 1, u''stclpl'': 1, u''beq'': 3, u''andsvs'': 1, u''vstmiagt'': 1, u''ldrbtne'': 1, u''mvns'': 2, u''andpl'': 1, u''cdphi'': 2, u''movwvc'': 1, u''svchi'': 4, u''ldcvs'': 1, u''strvs'': 2, u''blvs'': 1, u''svchs'': 3, u''ldclhi'': 1, u''vst2.32'': 1, u''movwvs'': 1, u''cbz'': 3, u''strgt'': 2, u''ldmdbeq'': 1, u''stmdbne'': 1, u''bhs'': 3, u''stcle'': 2, u''mrclo'': 1, u''strhge'': 1, u''bne'': 1, u''ldclgt'': 1, u''ldmda'': 1, u''stmdalt'': 1, u''stclt'': 1, u''stmibne'': 1, u''stcls'': 1, u''bicmi'': 1, u''ldrpl'': 1, u''ldrb'': 23, u''strdlo'': 2, u''orrsne'': 1, u''vfnmsmi.f64'': 1, u''rsbsls'': 1, u''movwhs'': 1, u''strhi'': 1, u''subgt'': 1, u''strdls'': 1, u''blpl'': 1, u''ldrshlt'': 1, u''ldcne'': 1, u''addeq'': 1, u''ldc2l'': 2, u''rsbhs'': 1, u''bicls'': 1, u''blx'': 6, u''rsbs'': 1, u''ldrsh'': 5, u''ittt'': 1, u''strpl'': 1, u''ldrsb'': 11, u''cmp'': 23, u''b.w'': 4, u''ldmibeq'': 1, u''orrls'': 1, u''ldmiblt'': 1, u''ldrbtmi'': 1, u''cmngt'': 1, u''strh'': 17, u''bls.w'': 1, u''subs.w'': 1, u''muls'': 1, u''push'': 2, u''strb'': 29, u''strb.w'': 1, u''ldc2'': 1, u''smlaltb'': 1, u''ldmdbhi'': 1}"
9,0018db8c76109cc73589c48f6649c64e                                                                    ,"{u''sbcs'': 1, u''subs'': 3, u''mcr2'': 1, u''movtmi'': 525, u''ldm'': 4, u''bvc'': 1, u''ldr'': 15, u''svcle'': 1, u''cbnz'': 2, u''mrcne'': 1, u''movwvs'': 1, u''cmpge'': 1, u''biceq'': 1, u''subpl'': 1, u''ldrbmi'': 2, u''movs'': 7, u''mrclo'': 1, u''adr'': 2, u''rsbsmi'': 1, u''lsls'': 6, u''ldrdle'': 1, u''bls'': 1, u''asrs'': 2, u''add'': 4, u''ldclpl'': 1, u''cmnne'': 1, u''orrshi'': 2, u''ldrb'': 1, u''bne'': 1, u''movtle'': 1, u''svcvs'': 2, u''bmi'': 1, u''strbmi'': 1, u''rsbshs'': 1, u''rsblo'': 1, u''mov'': 1, u''ubfx'': 1, u''rsbs'': 1, u''push'': 2, u''blhs'': 1, u''stclvs'': 1, u''ldc2l'': 1, u''adds'': 2, u''orrs'': 1, u''bx'': 2, u''b.w'': 1, u''eorshs'': 1, u''svchs'': 1, u''b'': 1, u''ldrlo'': 1, u''bge'': 1, u''bllt'': 1, u''ldrsb'': 2, u''cmp'': 3, u''strtvs'': 1, u''svc'': 1, u''ldrle'': 1, u''cdpvs'': 3, u''andeq'': 1, u''ldmeq'': 1, u''lsrs'': 3, u''strh'': 3, u''bgt'': 2, u''strtlt'': 2, u''str'': 12, u''blt'': 1, u''ldmge'': 1, u''strb'': 3, u''muls'': 1051, u''beq'': 1, u''ldrh'': 1, u''blo'': 1, u''blle'': 1}"
