,UninitializedDataSize,InitializedDataSize,ImageVersion,ProductName,FileVersionNumber,LanguageCode,FileFlagsMask,FileDescription,ImageFileCharacteristics,CharacterSet,LinkerVersion,FileTypeExtension,OriginalFileName,MIMEType,Subsystem,FileVersion,TimeStamp,FileType,PEType,InternalName,ProductVersion,SubsystemVersion,OSVersion,FileOS,md5,LegalCopyright,MachineType,CompanyName,CodeSize,FileSubtype,ProductVersionNumber,EntryPoint,ObjectFileType
0,0,6144,0.0,SoundMAX service agent,3.2.6.0,English (U.S.),0x003f,SoundMAX service agent component,,"Windows, Latin1",6.0,exe,SMAgent.exe,application/octet-stream,Windows GUI,"3, 2, 6, 0",2010:10:21 07:51:09+01:00,Win32 EXE,PE32,SMAgent,"3, 2, 6, 0",4.0,4.0,Windows NT 32-bit,5cd578614afb50b925008b68b3accdb9,Copyright ? 2002,"Intel 386 or later, and compatibles","Analog Devices, Inc.",7680,0,3.2.6.0,0x2abc,Executable application
1,0,9216,0.0,,,,,,"No relocs, Executable, No line numbers, No symbols, 32-bit",,6.0,exe,,application/octet-stream,Windows GUI,,2012:01:20 04:14:28+01:00,Win32 EXE,PE32,,,4.0,4.0,,75dad1ccabae8adeb5bae899d0c630f8,,"Intel 386 or later, and compatibles",,12288,,,0x3db4,
2,0,18944,0.0,,,,,,"No relocs, Executable, No line numbers, No symbols, 32-bit",,6.0,exe,,application/octet-stream,Windows GUI,,2009:08:03 10:29:29+02:00,Win32 EXE,PE32,,,4.0,4.0,,973f4a238d6d19bdc7b42977b07b9cef,,"Intel 386 or later, and compatibles",,27136,,,0x328e,
3,0,4608,0.0,,,,,,"No relocs, Executable, No line numbers, No symbols, 32-bit",,6.0,exe,,application/octet-stream,Windows GUI,,2012:06:26 05:30:05+02:00,Win32 EXE,PE32,,,4.0,4.0,,390d1f2a620912104f53c034c8aef14b,,"Intel 386 or later, and compatibles",,7680,,,0x2a7f,
4,0,23552,0.0,,,,,,,,6.0,exe,,application/octet-stream,Windows GUI,,2011:01:11 03:22:37+01:00,Win32 EXE,PE32,,,4.0,4.0,,5e686bd284022e35559a9c6118df8f1e,,"Intel 386 or later, and compatibles",,7168,,,0x29b6,
5,0,60416,0.0,,,,,,,,6.0,exe,,application/octet-stream,Windows GUI,,2010:07:08 01:46:03+01:00,Win32 EXE,PE32,,,4.0,4.0,,d9b1c95fb4424cf69a0ac8e40b3ab39b,,"Intel 386 or later, and compatibles",,10752,,,0x36e4,
6,0,23552,0.0,,,,,,,,6.0,exe,,application/octet-stream,Windows GUI,,2010:07:28 04:24:56+01:00,Win32 EXE,PE32,,,4.0,4.0,,3c4066b252722c873348d43b4c3ec0e5,,"Intel 386 or later, and compatibles",,7168,,,0x29b6,
7,0,7680,0.0,Microsoft Windows Operating System,5.1.2600.5512,English (U.S.),0x003f,Generic Host Process for Win32 Services,"No relocs, Executable, No line numbers, No symbols, 32-bit","Windows, Latin1",6.0,exe,svchost.exe,application/octet-stream,Windows GUI,5.1.2600.5512,2011:08:19 04:34:16+02:00,Win32 EXE,PE32,svchost.exe,5.1.2600.5512,4.0,4.0,Windows NT 32-bit,a99e06e2f90db4e506ef1347a8774dd5,Microsoft Corporation. All rights reserved.,"Intel 386 or later, and compatibles",Microsoft Corporation,8192,0,5.1.2600.5512,0x2e06,Executable application
8,0,57344,0.0,,,,,,"Executable, No line numbers, No symbols, 32-bit, DLL",,6.0,dll,,application/octet-stream,Windows GUI,,2011:03:23 15:36:19+01:00,Win32 DLL,PE32,,,4.0,4.0,,7d3140bd028f70f1fa865364b69c5999,,"Intel 386 or later, and compatibles",,3072,,,0x1add,
9,0,6144,0.0,SoundMAX service agent,3.2.6.0,English (U.S.),0x003f,SoundMAX service agent component,,"Windows, Latin1",6.0,exe,SMAgent.exe,application/octet-stream,Windows GUI,"3, 2, 6, 0",2010:10:21 07:51:09+01:00,Win32 EXE,PE32,SMAgent,"3, 2, 6, 0",4.0,4.0,Windows NT 32-bit,0ff20d023d6b54661d66fb3ce09afe3c,Copyright ? 2002,"Intel 386 or later, and compatibles","Analog Devices, Inc.",7680,0,3.2.6.0,0x2abc,Executable application
10,0,2048,0.0,,,,,,"No relocs, Executable, No line numbers, No symbols, 32-bit",,6.0,exe,,application/octet-stream,Windows GUI,,2009:07:30 02:20:04-07:00,Win32 EXE,PE32,,,4.0,4.0,,097b5abb53a3d84fa9eabda02fef9e91,,"Intel 386 or later, and compatibles",,5632,,,0x22c8,
11,0,5632,0.0,SoundMAX service agent,3.2.6.0,English (U.S.),0x003f,SoundMAX service agent component,,"Windows, Latin1",6.0,exe,SMAgent.exe,application/octet-stream,Windows GUI,"3, 2, 6, 0",2011:08:09 02:37:23+01:00,Win32 EXE,PE32,SMAgent,"3, 2, 6, 0",4.0,4.0,Windows NT 32-bit,5cf0959687427850a92d7f69edd41b86,Copyright ? 2002,"Intel 386 or later, and compatibles","Analog Devices, Inc.",7680,0,3.2.6.0,0x2a46,Executable application
12,0,3584,0.0,Microsoft   Windows   Operating System,5.1.2600.2180,English (U.S.),0x003f,Windows Error Reporting Service,"Executable, No line numbers, No symbols, 32-bit, DLL",Unicode,6.0,dll,ERSVC.DLL,application/octet-stream,Windows GUI,5.1.2600.2180 (xpsp_sp2_rtm.040803-2158),2009:07:20 01:33:01-07:00,Win32 DLL,PE32,ERSVC.DLL,5.1.2600.2180,4.0,4.0,Windows NT 32-bit,ab00b38179851c8aa3f9bc80ed7baa23,Microsoft Corporation. All rights reserved.,"Intel 386 or later, and compatibles",Microsoft Corporation,2560,0,5.1.2600.2180,0x1845,Executable application
13,0,189440,0.0,,,,,,"No relocs, Executable, No line numbers, No symbols, 32-bit",,6.0,exe,,application/octet-stream,Windows GUI,,2011:01:11 04:22:02+01:00,Win32 EXE,PE32,,,4.0,4.0,,468ff2c12cffc7e5b2fe0ee6bb3b239e,,"Intel 386 or later, and compatibles",,572928,,,0x24a76,
14,0,190464,0.0,,,,,,"Executable, 32-bit, DLL",,8.0,dll,,application/octet-stream,Windows GUI,,2009:07:29 16:34:24+02:00,Win32 DLL,PE32,,,4.0,4.0,,5a728cb9ce56763dccb32b5298d0f050,,"Intel 386 or later, and compatibles",,403456,,,0x9446,
15,0,7168,0.0,Microsoft? Windows? Operating System,5.1.2600.5512,English (U.S.),0x003f,Remote Access AutoDial Manager,,Unicode,6.0,dll,rasauto32.dll,application/octet-stream,Windows GUI,5.1.2600.5512 (xpsp.080413-0852),2012:06:21 11:48:56+01:00,Win32 DLL,PE32,rasauto32.dll,5.1.2600.5512,4.0,4.0,Windows NT 32-bit,150c4c1f589c4baa794160276a3d4aba,? Microsoft Corporation. All rights reserved.,"Intel 386 or later, and compatibles",Microsoft Corporation,11264,0,5.1.2600.5512,0x3923,Dynamic link library
16,0,41984,0.0,,,,,,"No relocs, Executable, 32-bit",,9.0,exe,,application/octet-stream,Windows GUI,,2011:03:02 08:40:24+01:00,Win32 EXE,PE32,,,5.0,5.0,,31e5e58dbdfad05175613e795298ebb5,,"Intel 386 or later, and compatibles",,72192,,,0xb4b5,
