,family,LinkerVersion,ImageVersion,InitializedDataSize,EntryPoint,MIMEType,TimeStamp,FileType,PEType,SubsystemVersion,UninitializedDataSize,OSVersion,md5,Subsystem,MachineType,CodeSize,FileTypeExtension
0,dridex,8.0,0.0,28672,0x5c70,application/octet-stream,2015:02:08 00:08:32+01:00,Win32 EXE,PE32,4.0,0,4.0,9e06e2fcda95624e24207112632934de,Windows command line,"Intel 386 or later, and compatibles",24576,exe
1,dridex,8.0,0.0,28672,0x5c70,application/octet-stream,2015:02:09 22:20:56+01:00,Win32 EXE,PE32,4.0,0,4.0,5b4c1b0e5c0c375594018a79b2a7a4be,Windows command line,"Intel 386 or later, and compatibles",24576,exe
2,dridex,8.0,0.0,28672,0x5c70,application/octet-stream,2015:02:06 10:32:13+01:00,Win32 EXE,PE32,4.0,0,4.0,a78a2cfcb76422b16936537bc5296996,Windows command line,"Intel 386 or later, and compatibles",24576,exe
3,dridex,8.0,0.0,28672,0x5c70,application/octet-stream,2015:02:04 22:51:19+01:00,Win32 EXE,PE32,4.0,0,4.0,b382486264996132983c279b056bab2a,Windows command line,"Intel 386 or later, and compatibles",24576,exe
4,dridex,8.0,0.0,28672,0x5c70,application/octet-stream,2015:02:09 14:52:36+01:00,Win32 EXE,PE32,4.0,0,4.0,dfa8814b043cbd03bbd56fe6783a159d,Windows command line,"Intel 386 or later, and compatibles",24576,exe
5,dridex,8.0,0.0,28672,0x5c70,application/octet-stream,2015:02:10 10:23:55+01:00,Win32 EXE,PE32,4.0,0,4.0,075d6ac8bd9c1d1e0ba6aca7ca98bfab,Windows command line,"Intel 386 or later, and compatibles",24576,exe
6,dridex,6.0,11.0,9457664,0x1868,application/octet-stream,2016:01:07 07:10:59+01:00,Win32 EXE,PE32,4.0,0,4.0,6a46f5c6d1417f159a0134941da35cca,Windows GUI,"Intel 386 or later, and compatibles",98304,exe
7,dridex,8.0,0.0,28672,0x5c70,application/octet-stream,2015:02:08 00:48:45+01:00,Win32 EXE,PE32,4.0,0,4.0,0111b2bd0543d5e35acde388ed8b62eb,Windows command line,"Intel 386 or later, and compatibles",24576,exe
8,dridex,8.0,0.0,28672,0x5c70,application/octet-stream,2015:02:08 11:30:41+01:00,Win32 EXE,PE32,4.0,0,4.0,debe7758f06568d1a1d98f26ad8ef9db,Windows command line,"Intel 386 or later, and compatibles",24576,exe
9,dridex,8.0,0.0,28672,0x5c70,application/octet-stream,2015:02:09 10:05:42+01:00,Win32 EXE,PE32,4.0,0,4.0,017d9d43baf8dc2d8451d0ef2e9a07f6,Windows command line,"Intel 386 or later, and compatibles",24576,exe
10,dridex,2.0,1.0,0,0x4f400,application/octet-stream,2036:06:01 17:15:19+01:00,Win32 EXE,PE32,5.0,8192,5.0,2e0c328aae6abfb19bf02e0fbc5dea93,Windows command line,"Intel 386 or later, and compatibles",24576,exe
11,dridex,8.0,0.0,2560,0x34eee,application/octet-stream,2007:07:12 01:14:00+01:00,Win32 EXE,PE32,4.0,0,4.0,2ca3d7c9f95cbb42efa447d1cbe9a885,Windows GUI,"Intel 386 or later, and compatibles",208896,exe
12,dridex,7.1,4.0,86016,0x1000,application/octet-stream,1997:10:25 22:19:52+01:00,Win32 EXE,PE32,4.1,438272,5.0,3b1a28c2064bacc292e473c9cd49390e,Windows GUI,"Intel 386 or later, and compatibles",8192,exe
13,dridex,6.0,0.0,2117632,0xce30,application/octet-stream,2005:07:24 22:16:46+01:00,Win32 EXE,PE32,4.0,0,4.0,8f3063ef8032799f71507b8f88f8a1c5,Windows GUI,"Intel 386 or later, and compatibles",49152,exe
14,dridex,8.0,0.0,28672,0x5c70,application/octet-stream,2015:02:07 12:44:28+01:00,Win32 EXE,PE32,4.0,0,4.0,0ed7cdd5df7bf46fac39ae32478203bb,Windows command line,"Intel 386 or later, and compatibles",24576,exe
15,dridex,10.0,0.0,32768,0x3f4c,application/octet-stream,2015:07:30 17:48:19+01:00,Win32 EXE,PE32,5.1,0,5.1,59765f9d900ca3788287b683e39e01ef,Windows GUI,"Intel 386 or later, and compatibles",39936,exe
16,dridex,6.0,0.0,3756032,0xc600,application/octet-stream,2004:12:07 07:53:58+01:00,Win32 EXE,PE32,4.0,0,4.0,1f259a88f61e45cc6f357f2fc8dacb9c,Windows GUI,"Intel 386 or later, and compatibles",49152,exe
17,dridex,0.23,1.0,124928,0x26670,application/octet-stream,1991:09:25 10:38:58+01:00,Win32 EXE,PE32,4.0,5632,4.0,2845499946fd5882f94cc9a4375b364a,Windows command line,"Intel 386 or later, and compatibles",28160,exe
18,dridex,7.7,4.0,86016,0x1000,application/octet-stream,1997:10:25 22:19:52+01:00,Win32 EXE,PE32,5.1,438272,5.0,cbb76581026efc205559598918841b32,Windows GUI,"Intel 386 or later, and compatibles",8192,exe
