,md5,EntryPoint,family,LinkerVersion,CodeSize,InitializedDataSize
0,9e06e2fcda95624e24207112632934de,0x5c70,dridex,8.0,24576,28672
1,5b4c1b0e5c0c375594018a79b2a7a4be,0x5c70,dridex,8.0,24576,28672
2,a78a2cfcb76422b16936537bc5296996,0x5c70,dridex,8.0,24576,28672
3,b382486264996132983c279b056bab2a,0x5c70,dridex,8.0,24576,28672
4,dfa8814b043cbd03bbd56fe6783a159d,0x5c70,dridex,8.0,24576,28672
5,075d6ac8bd9c1d1e0ba6aca7ca98bfab,0x5c70,dridex,8.0,24576,28672
6,6a46f5c6d1417f159a0134941da35cca,0x1868,dridex,6.0,98304,9457664
7,0111b2bd0543d5e35acde388ed8b62eb,0x5c70,dridex,8.0,24576,28672
8,debe7758f06568d1a1d98f26ad8ef9db,0x5c70,dridex,8.0,24576,28672
9,017d9d43baf8dc2d8451d0ef2e9a07f6,0x5c70,dridex,8.0,24576,28672
10,2e0c328aae6abfb19bf02e0fbc5dea93,0x4f400,dridex,2.0,24576,0
11,2ca3d7c9f95cbb42efa447d1cbe9a885,0x34eee,dridex,8.0,208896,2560
12,3b1a28c2064bacc292e473c9cd49390e,0x1000,dridex,7.1,8192,86016
13,8f3063ef8032799f71507b8f88f8a1c5,0xce30,dridex,6.0,49152,2117632
14,0ed7cdd5df7bf46fac39ae32478203bb,0x5c70,dridex,8.0,24576,28672
15,59765f9d900ca3788287b683e39e01ef,0x3f4c,dridex,10.0,39936,32768
16,1f259a88f61e45cc6f357f2fc8dacb9c,0xc600,dridex,6.0,49152,3756032
17,2845499946fd5882f94cc9a4375b364a,0x26670,dridex,0.23,28160,124928
18,cbb76581026efc205559598918841b32,0x1000,dridex,7.7,8192,86016
19,3a6ba8f950ce66247f8ecad7768eddaf,0x1630,dridex,2.56,2048,172544
20,d92147110ed2fcc0de8a4fa8ce14a558,0x1078,dridex,9.254,39936,119296
21,297529814d8d292594a1981fad30daa6,0x7e4a,locky,9.0,61952,237568
22,b97ed89e814ad91338a6bdd5f7853566,0x7e4a,locky,9.0,61952,237568
23,40849d82a14058cbc91d0ecea473d1d8,0x7e4a,locky,9.0,61952,237568
24,254c5c13dd02a9fccbe2a40ac0b04355,0x7e4a,locky,9.0,61952,238080
25,1d0687fe7c7c5591f1049ecb84e8cbd9,0x7e4a,locky,9.0,61952,237568
26,0aa56c23cff79948f977ebd1a470b4ad,0x7e4a,locky,9.0,61952,237568
27,85af16270f649b670cd255e6054d5388,0x1000,locky,2.5,41472,149504
28,901ef89350b60a992e1a6c67a61dcdab,0xbdf7,locky,10.0,69120,162304
29,fe4985beae55b054259bf14d3a3e50a7,0xbdf7,locky,10.0,69120,162304
30,3b522c3e3fc6cf29a2c8c65a80f14a08,0x3212,locky,6.0,24576,3805696
31,252957f37b8bd7a57473eab5f1a65d5c,0x12f3f,locky,9.0,78848,93696
