CVE, Earliest Recorded Date
CVE-2012-4869, 2012-03-20 00:00:00
CVE-2016-9361, 2015-07-28 00:00:00
CVE-2005-4832, 2005-04-18 00:00:00
CVE-2014-3789, 2014-04-29 00:00:00
CVE-2015-1497, 2014-01-02 00:00:00
CVE-2006-6251, 2009-08-18 00:00:00
CVE-2008-3656, 2008-08-08 00:00:00
CVE-2004-0636, 2004-08-09 00:00:00
CVE-2005-0595, 2003-04-20 00:00:00
CVE-2011-0531, 2011-01-31 00:00:00
CVE-2006-1148, 2006-03-08 00:00:00
CVE-2015-7765, 2015-09-14 00:00:00
CVE-2005-0043, 2005-01-11 00:00:00
CVE-2013-3928, 2013-07-26 00:00:00
CVE-2011-4722, 2011-12-12 00:00:00
CVE-2012-3152, 2014-01-15 00:00:00
CVE-2009-2011, 2009-06-09 00:00:00
CVE-2011-0404, 2011-01-08 00:00:00
CVE-2015-2219, 2015-04-12 00:00:00
CVE-2006-4868, 2006-09-19 00:00:00
CVE-2011-4542, 2011-11-22 00:00:00
CVE-2014-5301, 2014-12-15 00:00:00
CVE-2013-1362, 2013-02-21 00:00:00
CVE-2006-3942, 2006-07-11 00:00:00
CVE-2017-5982, 2017-02-12 00:00:00
CVE-2014-8499, 2014-11-08 00:00:00
CVE-2005-4560, 2005-12-27 00:00:00
CVE-1999-0209, 1994-12-12 00:00:00
CVE-2014-2206, 2014-03-09 00:00:00
CVE-2014-6271, 2014-09-24 00:00:00
CVE-2015-7808, 2015-11-04 00:00:00
CVE-2011-2005, 2011-11-30 00:00:00
CVE-2010-0094, 2010-03-31 00:00:00
CVE-2014-4936, 2014-12-16 00:00:00
CVE-2012-0419, 2017-08-13 14:10:53.277000
CVE-2014-2973, 2014-07-24 00:00:00
CVE-2010-3189, 2010-08-25 00:00:00
CVE-2006-3838, 2006-07-24 00:00:00
CVE-2004-2111, 2004-12-31 00:00:00
CVE-2012-0779, 2012-05-04 00:00:00
CVE-2010-0361, 2010-01-20 00:00:00
CVE-2009-2484, 2009-06-24 00:00:00
CVE-2009-2485, 2009-06-29 00:00:00
CVE-2014-3936, 2014-05-15 00:00:00
CVE-2014-3153, 2014-05-03 00:00:00
CVE-2007-6166, 2007-11-23 00:00:00
CVE-2013-3660, 2013-05-15 00:00:00
CVE-2012-2953, 2012-07-23 00:00:00
CVE-2013-4467, 2013-10-23 00:00:00
CVE-2001-1013, 2017-08-13 14:13:36.635000
CVE-2013-4660, 2013-06-28 00:00:00
CVE-2009-3999, 2011-10-19 00:00:00
CVE-2007-2446, 2007-05-14 00:00:00
CVE-2007-2447, 2007-05-14 00:00:00
CVE-2007-2280, 2009-12-17 00:00:00
CVE-2013-3591, 2013-10-30 00:00:00
CVE-2008-5159, 2008-02-04 00:00:00
CVE-2009-4324, 2009-12-14 00:00:00
CVE-2005-0455, 2005-03-01 00:00:00
CVE-2004-1134, 2004-12-06 00:00:00
CVE-2004-1135, 2004-11-29 00:00:00
CVE-2009-2227, 2009-06-18 00:00:00
CVE-2013-1814, 2017-08-13 14:11:38.442000
CVE-2007-6016, 2008-02-28 00:00:00
CVE-2012-3579, 2012-08-27 00:00:00
CVE-2007-1868, 2007-05-02 00:00:00
CVE-2009-1136, 2009-07-13 00:00:00
CVE-2015-1486, 2015-07-31 00:00:00
CVE-2008-4844, 2008-12-07 00:00:00
CVE-2011-4404, 2011-11-21 00:00:00
CVE-2010-2729, 2010-09-14 00:00:00
CVE-2013-3843, 2013-05-30 00:00:00
CVE-2007-4440, 2007-08-18 00:00:00
CVE-2004-0608, 2004-06-18 00:00:00
CVE-2008-4449, 2008-10-02 00:00:00
CVE-2005-3252, 2005-10-18 00:00:00
CVE-2014-8361, 2015-04-24 00:00:00
CVE-2006-2447, 2006-06-06 00:00:00
CVE-2010-1960, 2010-06-08 00:00:00
CVE-2010-1961, 2010-06-16 00:00:00
CVE-2010-3653, 2010-10-21 00:00:00
CVE-2003-0722, 2003-09-13 00:00:00
CVE-2011-1653, 2011-04-13 00:00:00
CVE-2007-4620, 2008-04-04 00:00:00
CVE-2005-1272, 2005-08-02 00:00:00
CVE-2008-7232, 2008-01-08 00:00:00
CVE-2017-7442, 2017-08-15 03:31:54.196000
CVE-2015-6922, 2015-09-23 00:00:00
CVE-2008-3008, 2008-09-09 00:00:00
CVE-2014-9566, 2015-02-24 00:00:00
CVE-2002-1214, 2002-09-26 00:00:00
CVE-2007-2711, 2007-05-14 00:00:00
CVE-2009-1260, 2009-04-03 00:00:00
CVE-2013-1625, 2017-08-13 14:14:05.714000
CVE-2009-0950, 2009-06-01 00:00:00
CVE-2006-5650, 2006-11-06 00:00:00
CVE-2014-0784, 2014-03-10 00:00:00
CVE-2014-0783, 2014-03-10 00:00:00
CVE-2014-0782, 2014-03-10 00:00:00
CVE-2014-0781, 2014-03-10 00:00:00
CVE-2010-0425, 2010-03-05 00:00:00
CVE-2014-8791, 2014-11-27 00:00:00
CVE-2005-1415, 2005-05-01 00:00:00
CVE-2014-8799, 2017-08-13 14:13:42.014000
CVE-2013-6414, 2013-12-04 00:00:00
CVE-2008-4114, 2017-08-13 14:11:39.808000
CVE-2014-0307, 2014-03-11 00:00:00
CVE-2011-0257, 2011-08-08 00:00:00
CVE-2012-2763, 2012-05-18 00:00:00
CVE-2014-0160, 2014-04-07 00:00:00
CVE-2006-3952, 2006-07-31 00:00:00
CVE-2011-0499, 2011-04-11 00:00:00
CVE-2010-0886, 2010-04-09 00:00:00
CVE-2014-5460, 2014-08-28 00:00:00
CVE-2014-0497, 2014-02-05 00:00:00
CVE-2014-5468, 2014-08-26 00:00:00
CVE-2009-0880, 2009-03-10 00:00:00
CVE-2005-1099, 2005-04-12 00:00:00
CVE-2011-4971, 2017-08-13 14:16:56.855000
CVE-2004-0297, 2004-02-17 00:00:00
CVE-2013-0803, 2012-01-21 00:00:00
CVE-2003-0533, 2004-04-13 00:00:00
CVE-2003-0822, 2003-11-11 00:00:00
CVE-2012-4333, 2012-04-21 00:00:00
CVE-2013-0156, 2013-01-07 00:00:00
CVE-2014-1761, 2014-04-01 00:00:00
CVE-2011-3011, 2011-07-25 00:00:00
CVE-2012-0549, 2012-04-18 00:00:00
CVE-2009-2765, 2009-07-20 00:00:00
CVE-2012-5687, 2017-08-13 14:13:50.694000
CVE-2006-5478, 2006-10-21 00:00:00
CVE-2016-6435, 2016-10-10 00:00:00
CVE-2014-7228, 2014-09-29 00:00:00
CVE-2012-3815, 2012-06-04 00:00:00
CVE-2016-6433, 2016-10-10 00:00:00
CVE-2003-0220, 2003-04-28 00:00:00
CVE-1999-0506, 2017-08-13 14:12:13.747000
CVE-1999-0504, 1999-01-01 00:00:00
CVE-1999-0502, 1999-01-01 00:00:00
CVE-2011-3659, 2011-12-06 00:00:00
CVE-2011-3658, 2011-12-06 00:00:00
CVE-2013-0025, 2013-02-13 00:00:00
CVE-2011-3494, 2011-09-06 00:00:00
CVE-2011-3497, 2011-09-16 00:00:00
CVE-2011-3492, 2011-09-13 00:00:00
CVE-2014-9195, 2015-05-20 00:00:00
CVE-2012-5204, 2017-08-13 14:13:39.079000
CVE-2011-2386, 2011-05-20 00:00:00
CVE-2012-5202, 2017-08-13 14:13:17.586000
CVE-2012-5201, 2013-03-07 00:00:00
CVE-2007-1674, 2007-04-13 00:00:00
CVE-2008-5416, 2008-12-09 00:00:00
CVE-2010-4417, 2010-06-09 00:00:00
CVE-2007-6377, 2007-12-10 00:00:00
CVE-2013-5877, 2014-02-28 00:00:00
CVE-2013-3619, 2013-11-06 00:00:00
CVE-2000-0248, 2000-04-04 00:00:00
CVE-2006-0564, 2006-02-06 00:00:00
CVE-2016-3714, 2016-05-03 00:00:00
